epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.654,1.31189,2.3416,0.99732,1,0.03703,0.2676,0.17009,1.18797,2.92641,0.95974,0.000328042,0.000328042,0.000328042
2,217.189,1.08625,1.04638,0.92177,0.75042,0.35581,0.51273,0.27548,1.12427,1.78143,0.94174,0.000654828,0.000654828,0.000654828
3,326.566,1.04268,0.91759,0.90992,0.79964,0.64898,0.66599,0.33902,0.98965,0.90004,0.90961,0.000975014,0.000975014,0.000975014
4,434.973,1.04078,0.83141,0.90877,0.77188,0.72719,0.77994,0.41983,1.0411,0.91645,0.93227,0.0009703,0.0009703,0.0009703
5,551.755,1.0219,0.78522,0.90267,0.76845,0.78969,0.79457,0.40791,0.97895,0.81567,0.90457,0.0009604,0.0009604,0.0009604
6,664.473,0.95922,0.73789,0.89347,0.86899,0.75351,0.81074,0.43717,0.94353,0.72369,0.89688,0.0009505,0.0009505,0.0009505
7,785.907,0.95164,0.67699,0.88728,0.89286,0.76998,0.83685,0.45984,0.95669,0.68796,0.90666,0.0009406,0.0009406,0.0009406
8,909.361,0.92563,0.62303,0.87948,0.81376,0.86845,0.86405,0.49095,0.95116,0.66211,0.90174,0.0009307,0.0009307,0.0009307
9,1017.64,0.92537,0.62254,0.87863,0.88963,0.84385,0.88694,0.51588,0.87368,0.62207,0.87796,0.0009208,0.0009208,0.0009208
10,1128.05,0.93572,0.61524,0.87811,0.84597,0.84605,0.8437,0.47912,0.92097,0.61908,0.89392,0.0009109,0.0009109,0.0009109
11,1235.9,0.92082,0.61037,0.87319,0.8724,0.87745,0.88194,0.51057,0.93209,0.64597,0.89632,0.000901,0.000901,0.000901
12,1343.88,0.90154,0.58357,0.87559,0.90637,0.84509,0.88829,0.48836,0.90398,0.55814,0.88879,0.0008911,0.0008911,0.0008911
13,1460.91,0.9221,0.56713,0.87504,0.85628,0.86597,0.86374,0.48002,0.96232,0.57142,0.90421,0.0008812,0.0008812,0.0008812
14,1568.8,0.92067,0.56596,0.87298,0.91212,0.8436,0.89859,0.53301,0.87892,0.54055,0.88442,0.0008713,0.0008713,0.0008713
15,1677.15,0.89793,0.53904,0.87399,0.86427,0.88882,0.88517,0.53178,0.86317,0.53111,0.87672,0.0008614,0.0008614,0.0008614
16,1784.81,0.90782,0.53851,0.87298,0.86807,0.89325,0.884,0.51133,0.91844,0.54555,0.88845,0.0008515,0.0008515,0.0008515
17,1892.91,0.86575,0.51814,0.86503,0.90614,0.89581,0.9085,0.56992,0.84885,0.50179,0.8723,0.0008416,0.0008416,0.0008416
18,2000.81,0.8771,0.5188,0.86773,0.86978,0.89871,0.88902,0.52056,0.86009,0.51192,0.87441,0.0008317,0.0008317,0.0008317
19,2108.41,0.86676,0.52246,0.86148,0.86604,0.8783,0.87815,0.51825,0.86583,0.49975,0.87851,0.0008218,0.0008218,0.0008218
20,2216.3,0.86935,0.50601,0.86501,0.90747,0.89714,0.91014,0.55228,0.84874,0.49015,0.87137,0.0008119,0.0008119,0.0008119
21,2334.82,0.86008,0.48473,0.85975,0.91913,0.8831,0.91586,0.55057,0.85928,0.49352,0.87363,0.000802,0.000802,0.000802
22,2465.37,0.85879,0.49001,0.86627,0.9287,0.91174,0.92307,0.54601,0.89755,0.49198,0.88312,0.0007921,0.0007921,0.0007921
23,2575.63,0.87927,0.50323,0.86661,0.85908,0.89537,0.89863,0.53923,0.86247,0.49599,0.87873,0.0007822,0.0007822,0.0007822
24,2683.76,0.87463,0.4969,0.86714,0.92888,0.90531,0.91253,0.55407,0.86654,0.47432,0.87654,0.0007723,0.0007723,0.0007723
25,2790.75,0.85934,0.49325,0.86603,0.84678,0.8777,0.89966,0.53486,0.85343,0.49205,0.87532,0.0007624,0.0007624,0.0007624
26,2899.05,0.85885,0.47239,0.86278,0.9154,0.8982,0.90321,0.51839,0.8592,0.46862,0.87697,0.0007525,0.0007525,0.0007525
27,3007.47,0.88609,0.48689,0.86359,0.91392,0.91426,0.9194,0.55648,0.84165,0.45438,0.87041,0.0007426,0.0007426,0.0007426
28,3115.11,0.83433,0.47615,0.86076,0.91494,0.9018,0.91674,0.5185,0.87815,0.45445,0.87985,0.0007327,0.0007327,0.0007327
29,3230.07,0.84556,0.45851,0.86499,0.92171,0.90108,0.91272,0.53929,0.87248,0.47287,0.87924,0.0007228,0.0007228,0.0007228
30,3340.76,0.86649,0.47392,0.85831,0.90505,0.89574,0.90945,0.51317,0.8818,0.47889,0.87719,0.0007129,0.0007129,0.0007129
31,3448.89,0.83853,0.45916,0.85954,0.9305,0.89908,0.91858,0.57329,0.81352,0.45201,0.86343,0.000703,0.000703,0.000703
32,3557.32,0.85063,0.47553,0.86347,0.89669,0.89019,0.90564,0.529,0.86548,0.47736,0.87473,0.0006931,0.0006931,0.0006931
33,3664.82,0.85742,0.46591,0.86328,0.93903,0.91669,0.93693,0.57771,0.83085,0.43936,0.86512,0.0006832,0.0006832,0.0006832
34,3771.94,0.82091,0.45281,0.85719,0.93526,0.90315,0.92155,0.53441,0.85041,0.44037,0.86798,0.0006733,0.0006733,0.0006733
35,3880.02,0.84837,0.44248,0.86121,0.94632,0.90149,0.91846,0.51862,0.86311,0.44483,0.87112,0.0006634,0.0006634,0.0006634
36,3987.68,0.82742,0.42739,0.85328,0.96603,0.89999,0.928,0.54182,0.85476,0.43726,0.86965,0.0006535,0.0006535,0.0006535
37,4098.86,0.825,0.4502,0.85449,0.93922,0.92079,0.9231,0.54837,0.84435,0.43196,0.87067,0.0006436,0.0006436,0.0006436
38,4212.53,0.80934,0.43667,0.85399,0.94745,0.91842,0.92576,0.56415,0.8324,0.42559,0.86653,0.0006337,0.0006337,0.0006337
39,4320.28,0.80412,0.43368,0.85117,0.93889,0.91931,0.92613,0.56682,0.82036,0.42492,0.86278,0.0006238,0.0006238,0.0006238
40,4428.76,0.82554,0.43275,0.85607,0.95083,0.89641,0.91549,0.53474,0.85301,0.42805,0.86769,0.0006139,0.0006139,0.0006139
41,4536.15,0.7987,0.41871,0.84783,0.95153,0.92551,0.93801,0.56384,0.83645,0.41854,0.86708,0.000604,0.000604,0.000604
42,4644.24,0.78536,0.42142,0.85005,0.9385,0.90792,0.91703,0.56501,0.85949,0.42825,0.87906,0.0005941,0.0005941,0.0005941
43,4752.51,0.80489,0.42526,0.85048,0.94251,0.92685,0.93203,0.57755,0.82283,0.41926,0.86741,0.0005842,0.0005842,0.0005842
44,4860.03,0.82256,0.44703,0.85517,0.93854,0.90318,0.91596,0.52881,0.83596,0.42648,0.86629,0.0005743,0.0005743,0.0005743
45,4968.31,0.80373,0.42331,0.85271,0.96446,0.91369,0.94099,0.57772,0.83458,0.41467,0.86669,0.0005644,0.0005644,0.0005644
46,5084.77,0.81848,0.43503,0.85239,0.93089,0.88964,0.91352,0.55305,0.83418,0.42993,0.86751,0.0005545,0.0005545,0.0005545
47,5192.34,0.816,0.43136,0.85503,0.94204,0.90312,0.92283,0.56644,0.80437,0.40858,0.86143,0.0005446,0.0005446,0.0005446
48,5300.43,0.81601,0.42533,0.85339,0.9298,0.90987,0.92607,0.55775,0.82025,0.41203,0.8637,0.0005347,0.0005347,0.0005347
49,5408.39,0.80258,0.41672,0.85216,0.96315,0.92391,0.93308,0.58068,0.81902,0.40062,0.86704,0.0005248,0.0005248,0.0005248
50,5518.76,0.78384,0.40627,0.8468,0.9232,0.90375,0.91826,0.55941,0.81851,0.40891,0.85902,0.0005149,0.0005149,0.0005149
51,5629.85,0.79989,0.42142,0.85123,0.9521,0.90774,0.93012,0.57076,0.8119,0.40861,0.86208,0.000505,0.000505,0.000505
52,5737.76,0.79582,0.40574,0.84935,0.93669,0.92345,0.93679,0.5797,0.81126,0.39752,0.86282,0.0004951,0.0004951,0.0004951
53,5845.38,0.80611,0.40202,0.8535,0.95723,0.92503,0.93105,0.58582,0.81694,0.40614,0.86315,0.0004852,0.0004852,0.0004852
54,5966.36,0.78991,0.40391,0.8466,0.93343,0.92572,0.93635,0.57388,0.81577,0.39947,0.85958,0.0004753,0.0004753,0.0004753
55,6084.68,0.78928,0.4008,0.84946,0.9649,0.92991,0.9414,0.58505,0.80051,0.39779,0.85556,0.0004654,0.0004654,0.0004654
56,6194.57,0.77931,0.40185,0.84725,0.94805,0.92804,0.93553,0.56549,0.81421,0.39701,0.86244,0.0004555,0.0004555,0.0004555
57,6302.23,0.78886,0.39457,0.8466,0.9334,0.92928,0.94098,0.58725,0.79702,0.396,0.8544,0.0004456,0.0004456,0.0004456
58,6409.92,0.77227,0.39881,0.84827,0.94478,0.92959,0.94017,0.58204,0.80427,0.39772,0.85662,0.0004357,0.0004357,0.0004357
59,6518.58,0.79093,0.39882,0.85069,0.94911,0.92339,0.93222,0.56299,0.81226,0.39418,0.86019,0.0004258,0.0004258,0.0004258
60,6626.85,0.77674,0.39199,0.84644,0.96017,0.92524,0.93402,0.57491,0.80851,0.38604,0.85951,0.0004159,0.0004159,0.0004159
61,6734.55,0.7599,0.38842,0.8459,0.97046,0.92974,0.94036,0.59295,0.791,0.37806,0.85634,0.000406,0.000406,0.000406
62,6848.59,0.7958,0.39042,0.85286,0.97595,0.93204,0.94342,0.57764,0.80336,0.3822,0.85767,0.0003961,0.0003961,0.0003961
63,6965.2,0.78789,0.3958,0.84636,0.96917,0.92864,0.94114,0.5716,0.80842,0.38241,0.85702,0.0003862,0.0003862,0.0003862
64,7072.75,0.77342,0.38552,0.84772,0.95882,0.90664,0.92559,0.56114,0.82096,0.39467,0.86094,0.0003763,0.0003763,0.0003763
65,7181.08,0.76605,0.38826,0.84334,0.9607,0.93111,0.94088,0.57216,0.80661,0.38123,0.86041,0.0003664,0.0003664,0.0003664
66,7288.92,0.78779,0.38775,0.8444,0.97602,0.93475,0.94633,0.57327,0.81232,0.37641,0.86041,0.0003565,0.0003565,0.0003565
67,7396.62,0.77674,0.39332,0.84561,0.95541,0.93218,0.93635,0.56653,0.8072,0.38232,0.85829,0.0003466,0.0003466,0.0003466
68,7504.11,0.76498,0.37956,0.84045,0.95187,0.93262,0.93768,0.57893,0.80135,0.37828,0.85621,0.0003367,0.0003367,0.0003367
69,7611.98,0.75557,0.37818,0.84249,0.96162,0.92683,0.93488,0.57522,0.79983,0.38397,0.85679,0.0003268,0.0003268,0.0003268
70,7723.91,0.76502,0.38358,0.84352,0.97591,0.92586,0.94199,0.57566,0.80572,0.37676,0.85791,0.0003169,0.0003169,0.0003169
71,7836.35,0.74061,0.37386,0.8376,0.97103,0.92684,0.93945,0.56388,0.81863,0.37633,0.86323,0.000307,0.000307,0.000307
72,7943.83,0.74231,0.38252,0.8386,0.95722,0.9081,0.92961,0.56092,0.82622,0.39122,0.86307,0.0002971,0.0002971,0.0002971
73,8051.96,0.78628,0.38646,0.85236,0.96215,0.92324,0.93199,0.56672,0.80689,0.38054,0.85968,0.0002872,0.0002872,0.0002872
74,8159.55,0.74889,0.37399,0.84152,0.95702,0.91173,0.93364,0.56055,0.81724,0.37901,0.86036,0.0002773,0.0002773,0.0002773
75,8267.78,0.75037,0.36091,0.84408,0.95743,0.92738,0.93393,0.57868,0.79394,0.37183,0.85669,0.0002674,0.0002674,0.0002674
76,8375.42,0.75268,0.36708,0.84455,0.94151,0.90138,0.92607,0.56249,0.80926,0.3722,0.86233,0.0002575,0.0002575,0.0002575
77,8483.02,0.75717,0.36518,0.84254,0.96996,0.93531,0.94362,0.59836,0.78045,0.36346,0.85193,0.0002476,0.0002476,0.0002476
78,8591.54,0.76919,0.37442,0.84996,0.94964,0.91701,0.92274,0.56418,0.80229,0.37459,0.86029,0.0002377,0.0002377,0.0002377
79,8707.49,0.75299,0.36336,0.84204,0.96433,0.92166,0.93671,0.57226,0.78897,0.36722,0.85421,0.0002278,0.0002278,0.0002278
80,8815.2,0.76245,0.37372,0.84523,0.97143,0.9312,0.94062,0.5795,0.79976,0.37121,0.85405,0.0002179,0.0002179,0.0002179
81,8922.63,0.72432,0.34478,0.83976,0.96423,0.93221,0.93807,0.5771,0.8014,0.36948,0.85586,0.000208,0.000208,0.000208
82,9030.68,0.73157,0.36149,0.83873,0.96194,0.9172,0.93564,0.58381,0.79357,0.3639,0.8544,0.0001981,0.0001981,0.0001981
83,9138.22,0.74301,0.35906,0.84236,0.95664,0.918,0.92169,0.5537,0.80601,0.36531,0.86015,0.0001882,0.0001882,0.0001882
84,9245.13,0.74175,0.36292,0.8428,0.95616,0.91627,0.92415,0.56177,0.80912,0.3712,0.85931,0.0001783,0.0001783,0.0001783
85,9352.76,0.75049,0.36304,0.84211,0.96771,0.93424,0.93517,0.5894,0.79343,0.36727,0.85551,0.0001684,0.0001684,0.0001684
86,9461.09,0.73786,0.35227,0.8374,0.97647,0.93906,0.94227,0.5903,0.78396,0.35726,0.85277,0.0001585,0.0001585,0.0001585
87,9577.61,0.73393,0.35827,0.83547,0.96889,0.93089,0.93754,0.58955,0.7855,0.36549,0.85502,0.0001486,0.0001486,0.0001486
88,9687.03,0.73777,0.35432,0.84089,0.97161,0.91995,0.93301,0.57791,0.80171,0.38495,0.85622,0.0001387,0.0001387,0.0001387
89,9794.74,0.74401,0.36184,0.84228,0.96161,0.92902,0.93837,0.5713,0.79297,0.35938,0.8554,0.0001288,0.0001288,0.0001288
90,9902.12,0.71395,0.35056,0.83856,0.96652,0.92698,0.93792,0.57704,0.79038,0.36504,0.85489,0.0001189,0.0001189,0.0001189
91,10007.4,0.74208,0.35162,0.83931,0.95435,0.92847,0.93387,0.57139,0.79452,0.36375,0.85536,0.000109,0.000109,0.000109
92,10113,0.72902,0.34222,0.84134,0.97163,0.92474,0.93481,0.58069,0.78992,0.3615,0.85524,9.91e-05,9.91e-05,9.91e-05
93,10218.7,0.74,0.34274,0.8398,0.97214,0.92812,0.93745,0.56991,0.80227,0.36351,0.85716,8.92e-05,8.92e-05,8.92e-05
94,10324.4,0.73136,0.34295,0.83719,0.97198,0.93121,0.93891,0.57324,0.79903,0.36839,0.85839,7.93e-05,7.93e-05,7.93e-05
95,10434.2,0.73484,0.3412,0.84026,0.96297,0.92966,0.93505,0.57691,0.79528,0.36331,0.85672,6.94e-05,6.94e-05,6.94e-05
96,10543.3,0.73131,0.3375,0.84009,0.96643,0.93433,0.93744,0.57462,0.79099,0.35841,0.85621,5.95e-05,5.95e-05,5.95e-05
97,10649.3,0.71931,0.33276,0.83844,0.9696,0.93541,0.93815,0.57511,0.78877,0.35395,0.85434,4.96e-05,4.96e-05,4.96e-05
98,10754.9,0.71894,0.33249,0.83941,0.97325,0.93019,0.94042,0.57697,0.78769,0.35725,0.85351,3.97e-05,3.97e-05,3.97e-05
99,10861.6,0.72011,0.33088,0.83319,0.97526,0.92705,0.93719,0.57926,0.78963,0.3596,0.85414,2.98e-05,2.98e-05,2.98e-05
100,10966.8,0.71779,0.32956,0.83683,0.9744,0.92439,0.93686,0.57832,0.79096,0.35904,0.85413,1.99e-05,1.99e-05,1.99e-05
