epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.632,1.1781,1.88655,0.96011,1,0.04432,0.48206,0.31751,0.99108,2.90398,0.92236,0.000468121,0.000468121,0.000468121
2,223.848,1.00757,0.90918,0.91399,0.97421,0.59904,0.62924,0.39381,1.01152,1.47127,0.92994,0.000935104,0.000935104,0.000935104
3,322.904,0.95526,0.78893,0.89759,0.83828,0.64016,0.68709,0.43073,0.96872,0.88124,0.92352,0.00139266,0.00139266,0.00139266
4,421.384,0.97855,0.74522,0.89805,0.83393,0.67762,0.70116,0.41412,0.94839,0.77837,0.91539,0.00138656,0.00138656,0.00138656
5,518.889,0.94638,0.70695,0.89432,0.87194,0.70407,0.75994,0.47332,0.87706,0.7219,0.89393,0.00137241,0.00137241,0.00137241
6,616.489,0.92521,0.66125,0.88741,0.73081,0.68768,0.7029,0.44865,0.89496,0.65489,0.90959,0.00135826,0.00135826,0.00135826
7,719.865,0.93305,0.62741,0.88843,0.79607,0.72823,0.75273,0.46338,0.92269,0.65167,0.9099,0.00134412,0.00134412,0.00134412
8,818.34,0.8673,0.57086,0.87918,0.82951,0.78368,0.78853,0.50656,0.86409,0.56548,0.89318,0.00132997,0.00132997,0.00132997
9,917.697,0.86905,0.55436,0.87369,0.85185,0.77863,0.81645,0.52448,0.82021,0.56016,0.87688,0.00131582,0.00131582,0.00131582
10,1017.37,0.84682,0.54951,0.86889,0.76911,0.77428,0.75115,0.48383,0.86627,0.54701,0.88997,0.00130168,0.00130168,0.00130168
11,1115,0.86526,0.54839,0.87709,0.75075,0.78477,0.75335,0.49022,0.84426,0.56483,0.8914,0.00128753,0.00128753,0.00128753
12,1212.32,0.83968,0.52701,0.8687,0.83566,0.78461,0.80031,0.52074,0.82178,0.49633,0.88681,0.00127338,0.00127338,0.00127338
13,1309.52,0.84964,0.52455,0.86475,0.87593,0.81255,0.84247,0.55611,0.81589,0.50997,0.88332,0.00125923,0.00125923,0.00125923
14,1407.04,0.84439,0.5078,0.86864,0.91511,0.7987,0.83576,0.54249,0.80086,0.4821,0.87926,0.00124509,0.00124509,0.00124509
15,1504.21,0.8398,0.48419,0.87142,0.80613,0.8402,0.81142,0.53806,0.76447,0.47634,0.86793,0.00123094,0.00123094,0.00123094
