epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.8005,1.23347,2.24359,0.97924,0.9998,0.19591,0.28204,0.1755,1.18439,2.94345,0.95363,0.000327869,0.000327869,0.000327869
2,197.018,1.06819,1.02239,0.9237,0.7529,0.31805,0.37513,0.23585,1.0459,1.65853,0.94019,0.000654656,0.000654656,0.000654656
3,293.267,1.0449,0.91829,0.91762,0.5849,0.54925,0.58957,0.31548,1.08901,1.00568,0.95063,0.000974844,0.000974844,0.000974844
4,390.092,1.01983,0.85346,0.90349,0.67505,0.73576,0.6453,0.35095,1.00498,0.87371,0.93098,0.0009703,0.0009703,0.0009703
5,487.916,0.97796,0.75936,0.90054,0.78587,0.62017,0.68018,0.37294,0.93971,0.77438,0.90513,0.0009604,0.0009604,0.0009604
6,587.043,0.96421,0.71575,0.89049,0.75571,0.78442,0.79424,0.46037,0.91287,0.71253,0.89256,0.0009505,0.0009505,0.0009505
7,686.445,0.94491,0.7058,0.88868,0.79864,0.74436,0.80277,0.47279,0.90054,0.66737,0.89036,0.0009406,0.0009406,0.0009406
8,787.575,0.97808,0.67341,0.89279,0.70149,0.80775,0.83047,0.45307,0.92261,0.65561,0.89044,0.0009307,0.0009307,0.0009307
9,893.437,0.92533,0.62936,0.88091,0.75574,0.78974,0.79056,0.45452,0.88076,0.6529,0.88004,0.0009208,0.0009208,0.0009208
10,1003.13,0.9713,0.63907,0.88928,0.8502,0.78614,0.82441,0.46667,0.91117,0.61943,0.8931,0.0009109,0.0009109,0.0009109
11,1106.43,0.87235,0.5761,0.87312,0.78496,0.85979,0.86496,0.49155,0.90248,0.58067,0.88755,0.000901,0.000901,0.000901
12,1210.01,0.8886,0.57415,0.87491,0.84578,0.87634,0.85438,0.48752,0.87278,0.57006,0.8863,0.0008911,0.0008911,0.0008911
13,1313.7,0.90627,0.56975,0.88309,0.86341,0.87618,0.87697,0.47881,0.84761,0.5316,0.87543,0.0008812,0.0008812,0.0008812
14,1417.97,0.87255,0.55384,0.87122,0.80934,0.8116,0.86924,0.50083,0.86795,0.5636,0.87647,0.0008713,0.0008713,0.0008713
15,1522.05,0.89247,0.5539,0.87046,0.83098,0.89423,0.86776,0.50004,0.89835,0.55147,0.89014,0.0008614,0.0008614,0.0008614
16,1625.68,0.9041,0.5477,0.87646,0.84386,0.85179,0.84822,0.45636,0.89517,0.52554,0.88549,0.0008515,0.0008515,0.0008515
17,1729.02,0.88129,0.54043,0.87111,0.88073,0.88386,0.8687,0.49541,0.86623,0.51673,0.88307,0.0008416,0.0008416,0.0008416
18,1837.76,0.85861,0.51394,0.86241,0.89619,0.89446,0.90536,0.54107,0.84263,0.50588,0.86896,0.0008317,0.0008317,0.0008317
19,1943.01,0.85656,0.50958,0.86401,0.86761,0.87886,0.85879,0.48859,0.86281,0.50435,0.87747,0.0008218,0.0008218,0.0008218
20,2046.55,0.87979,0.52053,0.87063,0.91275,0.90361,0.91068,0.53482,0.84949,0.48493,0.87495,0.0008119,0.0008119,0.0008119
21,2149.49,0.83308,0.5134,0.862,0.82114,0.90669,0.87853,0.52025,0.86239,0.50316,0.88037,0.000802,0.000802,0.000802
22,2256.16,0.85559,0.48833,0.86843,0.8384,0.84116,0.83091,0.45401,0.87458,0.49787,0.88336,0.0007921,0.0007921,0.0007921
23,2364.69,0.83749,0.48727,0.86321,0.86227,0.84483,0.85653,0.47338,0.84495,0.47951,0.87583,0.0007822,0.0007822,0.0007822
24,2468.96,0.84632,0.47794,0.86075,0.84129,0.84829,0.82617,0.45079,0.85911,0.48021,0.87765,0.0007723,0.0007723,0.0007723
25,2572.65,0.83617,0.47961,0.86082,0.88541,0.89096,0.8977,0.55311,0.8153,0.45909,0.87,0.0007624,0.0007624,0.0007624
26,2679.6,0.84521,0.46919,0.86273,0.91432,0.90875,0.92407,0.49271,0.85437,0.46227,0.87077,0.0007525,0.0007525,0.0007525
27,2788.47,0.84585,0.47538,0.85843,0.92244,0.91919,0.93088,0.56833,0.82326,0.45189,0.86753,0.0007426,0.0007426,0.0007426
28,2892.67,0.84139,0.46875,0.86053,0.96623,0.91302,0.93121,0.57401,0.80331,0.43867,0.86271,0.0007327,0.0007327,0.0007327
29,2996.9,0.82742,0.45393,0.8526,0.93281,0.87929,0.91328,0.53367,0.86842,0.46606,0.87323,0.0007228,0.0007228,0.0007228
30,3100.67,0.80668,0.461,0.85389,0.86999,0.90452,0.89165,0.53584,0.82032,0.4645,0.86388,0.0007129,0.0007129,0.0007129
31,3205.35,0.83186,0.45183,0.85659,0.87414,0.90347,0.9115,0.53934,0.8331,0.43917,0.86508,0.000703,0.000703,0.000703
32,3309.39,0.83081,0.45036,0.85641,0.86161,0.86684,0.85624,0.49218,0.85386,0.45909,0.87607,0.0006931,0.0006931,0.0006931
33,3412.67,0.82638,0.44394,0.86005,0.92446,0.91328,0.93025,0.57852,0.80442,0.42945,0.86195,0.0006832,0.0006832,0.0006832
34,3516.05,0.79236,0.42846,0.85648,0.92295,0.90842,0.91452,0.55665,0.81329,0.43787,0.8631,0.0006733,0.0006733,0.0006733
35,3623.82,0.80382,0.4367,0.85542,0.94307,0.91085,0.92432,0.54102,0.8235,0.41115,0.86816,0.0006634,0.0006634,0.0006634
36,3730.59,0.83033,0.44033,0.85983,0.90266,0.89992,0.91509,0.57281,0.82321,0.42214,0.86633,0.0006535,0.0006535,0.0006535
37,3834,0.80413,0.44272,0.85652,0.88272,0.9065,0.90195,0.56275,0.79791,0.42952,0.86053,0.0006436,0.0006436,0.0006436
38,3937.46,0.79338,0.43248,0.85242,0.93337,0.89542,0.90898,0.50504,0.81484,0.42658,0.8683,0.0006337,0.0006337,0.0006337
39,4041.47,0.79496,0.44658,0.85113,0.91119,0.90757,0.92015,0.54657,0.80091,0.43002,0.8617,0.0006238,0.0006238,0.0006238
40,4147.21,0.82014,0.43278,0.85415,0.94674,0.90949,0.93383,0.54702,0.83381,0.44153,0.87066,0.0006139,0.0006139,0.0006139
41,4251.03,0.82577,0.4285,0.85711,0.95483,0.90565,0.91356,0.53635,0.80114,0.41858,0.86133,0.000604,0.000604,0.000604
42,4354.32,0.8206,0.43178,0.85765,0.93556,0.90562,0.9177,0.5215,0.81981,0.41528,0.86698,0.0005941,0.0005941,0.0005941
43,4458.24,0.7881,0.42311,0.84899,0.96074,0.90979,0.93057,0.55767,0.79061,0.41761,0.86058,0.0005842,0.0005842,0.0005842
44,4567.72,0.79841,0.4294,0.85813,0.9393,0.91782,0.92495,0.55568,0.80965,0.4076,0.86365,0.0005743,0.0005743,0.0005743
45,4672.09,0.80048,0.4179,0.85392,0.94607,0.9157,0.92593,0.55144,0.79674,0.40588,0.86204,0.0005644,0.0005644,0.0005644
46,4775.98,0.80457,0.42497,0.84974,0.94755,0.91026,0.92717,0.56165,0.80026,0.4028,0.86403,0.0005545,0.0005545,0.0005545
47,4879.75,0.78514,0.41008,0.85194,0.94409,0.91786,0.92372,0.56901,0.7998,0.40928,0.86359,0.0005446,0.0005446,0.0005446
48,4984.26,0.81046,0.42089,0.8556,0.96613,0.90508,0.92656,0.5205,0.80991,0.40652,0.86651,0.0005347,0.0005347,0.0005347
49,5089.01,0.79574,0.40377,0.84803,0.96907,0.92974,0.93631,0.5719,0.83487,0.40037,0.8695,0.0005248,0.0005248,0.0005248
50,5192.35,0.77917,0.41532,0.84938,0.96376,0.92321,0.93001,0.58646,0.78016,0.40769,0.85696,0.0005149,0.0005149,0.0005149
51,5296.1,0.78405,0.4075,0.85151,0.94941,0.90412,0.92188,0.55275,0.8005,0.40108,0.86349,0.000505,0.000505,0.000505
52,5402.06,0.77994,0.41236,0.84583,0.9523,0.9111,0.92505,0.55142,0.78379,0.39448,0.86145,0.0004951,0.0004951,0.0004951
53,5510.41,0.76009,0.38786,0.84104,0.95018,0.91211,0.92945,0.55127,0.79311,0.39133,0.86483,0.0004852,0.0004852,0.0004852
54,5613.43,0.76719,0.3982,0.84596,0.95117,0.92929,0.92901,0.55239,0.80039,0.39655,0.86455,0.0004753,0.0004753,0.0004753
55,5717.31,0.7777,0.39351,0.84864,0.95295,0.91824,0.9255,0.58188,0.77249,0.38107,0.85953,0.0004654,0.0004654,0.0004654
56,5820.95,0.77365,0.39402,0.84545,0.95263,0.91191,0.92933,0.58164,0.78524,0.39021,0.85996,0.0004555,0.0004555,0.0004555
57,5925.52,0.7435,0.37952,0.84212,0.93368,0.92918,0.93104,0.57806,0.77855,0.38425,0.85789,0.0004456,0.0004456,0.0004456
58,6032.17,0.76258,0.39099,0.8451,0.94091,0.92035,0.92668,0.58169,0.80235,0.39429,0.8622,0.0004357,0.0004357,0.0004357
59,6136.33,0.7736,0.39432,0.84739,0.9554,0.93287,0.9404,0.54803,0.81693,0.39381,0.86651,0.0004258,0.0004258,0.0004258
60,6240.13,0.76695,0.39091,0.84693,0.94615,0.91532,0.92656,0.57859,0.78904,0.38357,0.8609,0.0004159,0.0004159,0.0004159
61,6350.35,0.75864,0.39107,0.84333,0.9699,0.92173,0.93149,0.56595,0.79152,0.38651,0.86094,0.000406,0.000406,0.000406
62,6456.17,0.77579,0.39484,0.84948,0.95482,0.92504,0.9382,0.58073,0.77767,0.37518,0.85784,0.0003961,0.0003961,0.0003961
63,6560,0.77634,0.38831,0.84837,0.95213,0.93029,0.92702,0.56077,0.79222,0.38054,0.86218,0.0003862,0.0003862,0.0003862
64,6663.89,0.76054,0.38207,0.84115,0.94916,0.89792,0.91657,0.52564,0.79474,0.39595,0.8626,0.0003763,0.0003763,0.0003763
65,6767.64,0.76053,0.379,0.84622,0.95197,0.91565,0.93143,0.58282,0.78072,0.37884,0.85805,0.0003664,0.0003664,0.0003664
66,6871.86,0.77049,0.3976,0.84802,0.94118,0.9147,0.92286,0.56012,0.7812,0.38313,0.85623,0.0003565,0.0003565,0.0003565
67,6975.16,0.76198,0.39484,0.84203,0.93482,0.91314,0.92178,0.55636,0.79868,0.37742,0.86414,0.0003466,0.0003466,0.0003466
68,7078.3,0.76927,0.39374,0.84559,0.96251,0.92098,0.93449,0.57848,0.78014,0.39218,0.85702,0.0003367,0.0003367,0.0003367
69,7181.78,0.74012,0.38133,0.84293,0.95757,0.90817,0.92586,0.55982,0.79596,0.38431,0.86147,0.0003268,0.0003268,0.0003268
70,7292.22,0.74266,0.37091,0.83802,0.97233,0.92222,0.93942,0.58071,0.7677,0.3694,0.85363,0.0003169,0.0003169,0.0003169
71,7395.85,0.74114,0.3701,0.84048,0.94844,0.91756,0.92318,0.55248,0.78281,0.37727,0.85859,0.000307,0.000307,0.000307
72,7500.24,0.74122,0.38037,0.83934,0.95139,0.92472,0.92743,0.57551,0.77348,0.37748,0.85643,0.0002971,0.0002971,0.0002971
73,7603.66,0.73244,0.35732,0.83972,0.95852,0.91274,0.91879,0.54184,0.78083,0.37141,0.8598,0.0002872,0.0002872,0.0002872
74,7708.09,0.76429,0.37725,0.84472,0.95348,0.92562,0.93255,0.58563,0.78386,0.37174,0.85867,0.0002773,0.0002773,0.0002773
75,7812.7,0.75453,0.3693,0.84494,0.94999,0.93364,0.93974,0.57815,0.78324,0.36796,0.85872,0.0002674,0.0002674,0.0002674
76,7915.98,0.73848,0.36144,0.84349,0.95361,0.92697,0.93525,0.56311,0.78376,0.36351,0.85782,0.0002575,0.0002575,0.0002575
77,8019.32,0.76036,0.37377,0.84534,0.96335,0.92136,0.93602,0.59622,0.75778,0.3713,0.85223,0.0002476,0.0002476,0.0002476
78,8124.92,0.72121,0.35272,0.84005,0.94213,0.92811,0.94114,0.565,0.7793,0.37056,0.85873,0.0002377,0.0002377,0.0002377
79,8233.02,0.73796,0.36441,0.84274,0.95189,0.91501,0.92928,0.55219,0.7847,0.37361,0.85832,0.0002278,0.0002278,0.0002278
80,8336.31,0.73181,0.35242,0.84363,0.95734,0.91396,0.9374,0.573,0.76292,0.36357,0.85328,0.0002179,0.0002179,0.0002179
81,8440.06,0.74434,0.36679,0.8397,0.94027,0.9066,0.91684,0.55729,0.7628,0.39087,0.85196,0.000208,0.000208,0.000208
82,8543.2,0.73136,0.36182,0.8402,0.97852,0.92101,0.94156,0.59325,0.75769,0.35787,0.85344,0.0001981,0.0001981,0.0001981
83,8648,0.71954,0.35419,0.83537,0.95931,0.90919,0.92239,0.56142,0.75876,0.35707,0.85437,0.0001882,0.0001882,0.0001882
84,8751.45,0.72845,0.35515,0.84063,0.95636,0.91856,0.92893,0.57716,0.77634,0.36642,0.85787,0.0001783,0.0001783,0.0001783
