epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,8854.69,0.71515,0.3412,0.83914,0.96939,0.92712,0.93954,0.58053,0.76795,0.35477,0.85733,0.0001684,0.0001684,0.0001684
86,8958.67,0.72633,0.36322,0.83953,0.96686,0.91619,0.93155,0.54388,0.78129,0.36288,0.86104,0.0001585,0.0001585,0.0001585
87,9066.6,0.70802,0.34411,0.83452,0.96491,0.91692,0.93105,0.56046,0.76611,0.36088,0.85674,0.0001486,0.0001486,0.0001486
88,9180.33,0.71552,0.34707,0.83721,0.95197,0.91064,0.92583,0.55506,0.77067,0.36783,0.85696,0.0001387,0.0001387,0.0001387
89,9286.18,0.71201,0.34622,0.83771,0.9611,0.92054,0.93081,0.57233,0.75601,0.36049,0.85471,0.0001288,0.0001288,0.0001288
90,9389.74,0.72115,0.34452,0.83768,0.95116,0.91409,0.92817,0.5716,0.76207,0.37223,0.85678,0.0001189,0.0001189,0.0001189
91,9492.16,0.72926,0.3442,0.84136,0.96238,0.91393,0.92756,0.56671,0.76552,0.36789,0.85674,0.000109,0.000109,0.000109
92,9594.37,0.71445,0.33829,0.8369,0.94605,0.91249,0.92146,0.55139,0.7774,0.36687,0.85904,9.91e-05,9.91e-05,9.91e-05
93,9695.83,0.7198,0.34022,0.83608,0.9259,0.92342,0.92494,0.55908,0.78162,0.37554,0.86006,8.92e-05,8.92e-05,8.92e-05
94,9797.2,0.71571,0.3359,0.83742,0.94279,0.9158,0.92389,0.56119,0.76321,0.36592,0.85542,7.93e-05,7.93e-05,7.93e-05
95,9898.96,0.71729,0.33369,0.84395,0.92073,0.92041,0.9113,0.55114,0.76759,0.37064,0.85862,6.94e-05,6.94e-05,6.94e-05
96,10009.2,0.71291,0.33107,0.83902,0.94054,0.91623,0.91714,0.55833,0.77488,0.36925,0.85864,5.95e-05,5.95e-05,5.95e-05
97,10110.7,0.71276,0.33073,0.83914,0.92976,0.921,0.91918,0.56007,0.77114,0.3691,0.85652,4.96e-05,4.96e-05,4.96e-05
98,10212.6,0.7079,0.33195,0.83611,0.93362,0.92105,0.91132,0.56586,0.7718,0.37261,0.85656,3.97e-05,3.97e-05,3.97e-05
99,10314.4,0.70804,0.32651,0.83814,0.92302,0.91971,0.90496,0.55594,0.76591,0.37229,0.85519,2.98e-05,2.98e-05,2.98e-05
100,10417,0.69944,0.32406,0.83579,0.9067,0.92807,0.90953,0.55262,0.77024,0.37327,0.85624,1.99e-05,1.99e-05,1.99e-05
